iter	RMSE
0	73978.65993
1	71674.52915
2	69442.67637
3	67317.85787
4	65358.1821
5	63486.97347
6	61663.91153
7	59858.90377
8	58234.16156
9	56573.67096
10	55167.48315
11	53708.56712
12	52340.16156
13	51042.11338
14	49890.92336
15	48747.9819
16	47833.3462
17	46772.64238
18	45899.08145
19	44934.80149
20	44108.32362
21	43255.10072
22	42532.02022
23	41713.02
24	41117.39141
25	40425.98629
26	39831.93167
27	39276.14867
28	38699.71446
29	38120.37696
30	37617.75109
31	37051.819
32	36602.22965
33	36199.67061
34	35776.38839
35	35365.02938
36	34877.99457
37	34489.56304
38	34164.16889
39	33789.22639
40	33414.30083
41	33026.08556
42	32714.09318
43	32410.60263
44	32093.58324
45	31781.53962
46	31476.34351
47	31167.21382
48	30942.27294
49	30731.98358
50	30492.78719
51	30241.80188
52	30008.87543
53	29804.92126
54	29630.12357
55	29415.64491
56	29199.6207
57	28984.46108
58	28832.54823
59	28648.64983
60	28522.31732
61	28382.05111
62	28248.49049
63	28085.56609
64	27941.65638
65	27764.04669
66	27652.75219
67	27552.17876
68	27396.59785
69	27260.36343
70	27105.37001
71	26958.0026
72	26863.05213
73	26762.2478
74	26684.41123
75	26589.00831
76	26475.24229
77	26370.13283
78	26268.98664
79	26204.149
80	26091.84342
81	26002.9684
82	25917.58875
83	25794.70963
84	25699.38861
85	25624.694
86	25526.02728
87	25456.20464
88	25394.75007
89	25285.47881
90	25215.00204
91	25152.5685
92	25041.91099
93	24959.409
94	24897.71423
95	24844.59661
96	24755.97028
97	24701.09421
98	24660.55597
99	24585.5924
100	24500.11303
101	24433.91151
102	24393.22291
103	24319.30826
104	24242.13183
105	24222.28338
106	24155.23976
107	24099.02323
108	24071.05444
109	24013.29559
110	23960.31126
111	23929.93351
112	23868.74163
113	23796.56535
114	23774.44828
115	23713.22851
116	23642.895
117	23601.20663
118	23548.62918
119	23528.67088
120	23497.91508
121	23434.45424
122	23397.65306
123	23365.51972
124	23312.20453
125	23254.30246
126	23215.06305
127	23165.00034
128	23095.36892
129	23058.31179
130	23010.38863
131	22945.70115
132	22896.10038
133	22832.07179
134	22762.53614
135	22691.9017
136	22645.29538
137	22605.19103
138	22556.6631
139	22493.12552
140	22441.33924
141	22405.16342
142	22348.12544
143	22322.89835
144	22265.33581
145	22196.63815
146	22132.42257
147	22087.74342
148	22058.64228
149	22039.08197
150	22003.07673
151	21968.78834
152	21948.71653
153	21902.66589
154	21875.35629
155	21834.14639
156	21794.93518
157	21776.56041
158	21742.43578
159	21704.34014
160	21651.09174
161	21599.98453
162	21573.94379
163	21555.81526
164	21506.12535
165	21476.14526
166	21446.18689
167	21423.323
168	21399.62189
169	21354.03825
170	21325.18784
171	21267.51758
172	21205.03928
173	21183.4777
174	21142.43673
175	21097.39267
176	21048.32422
177	21003.22002
178	20974.70628
179	20952.62759
180	20924.72154
181	20903.48813
182	20863.05616
183	20838.20101
184	20800.5887
185	20766.96131
186	20729.42208
187	20691.89789
188	20671.89287
189	20657.34608
190	20630.93736
191	20596.28119
192	20563.61887
193	20532.87906
194	20509.72179
195	20482.59995
196	20459.09212
197	20427.18251
198	20391.14419
199	20361.34371
200	20332.00734
201	20309.5006
202	20282.39197
203	20260.25154
204	20213.24561
205	20173.67843
206	20134.31329
207	20116.74497
208	20072.72539
209	20039.81591
210	19989.2116
211	19946.89126
212	19924.42775
213	19874.13838
