iter	Passed	Remaining
0	165	165058
1	169	84337
2	172	57284
3	176	43842
4	179	35723
5	182	30202
6	186	26394
7	189	23437
8	191	21089
9	193	19167
10	195	17601
11	197	16284
12	200	15245
13	203	14344
14	206	13567
15	210	12926
16	213	12357
17	217	11846
18	220	11406
19	224	10995
20	228	10636
21	232	10317
22	235	10004
23	239	9726
24	242	9454
25	245	9210
26	249	8977
27	252	8765
28	255	8563
29	259	8376
30	262	8189
31	265	8035
32	268	7880
33	272	7729
34	275	7598
35	278	7468
36	282	7344
37	285	7230
38	288	7121
39	292	7026
40	294	6899
41	298	6804
42	301	6706
43	303	6591
44	306	6510
45	309	6428
46	312	6346
47	316	6281
48	320	6215
49	323	6148
50	325	6059
51	328	5984
52	331	5919
53	334	5856
54	337	5791
55	340	5747
56	343	5686
57	346	5635
58	349	5571
59	351	5511
60	355	5464
61	357	5407
62	360	5367
63	364	5332
64	367	5288
65	370	5243
66	373	5200
67	377	5170
68	380	5129
69	383	5093
70	386	5052
71	389	5018
72	392	4990
73	396	4960
74	399	4931
75	403	4904
76	406	4877
77	410	4852
78	414	4826
79	417	4797
80	420	4776
81	423	4745
82	427	4722
83	430	4692
84	433	4662
85	437	4648
86	441	4630
87	445	4615
88	448	4588
89	452	4574
90	455	4553
91	460	4543
92	463	4520
93	466	4497
94	469	4472
95	472	4452
96	477	4447
97	480	4426
98	484	4411
99	488	4393
100	492	4380
101	495	4362
102	499	4354
103	504	4342
104	507	4323
105	508	4288
106	511	4269
107	514	4247
108	518	4238
109	521	4222
110	525	4207
111	529	4198
112	533	4184
113	536	4172
114	539	4153
115	543	4143
116	547	4128
117	550	4114
118	555	4109
119	558	4094
120	561	4077
121	564	4062
122	568	4050
123	571	4036
124	575	4026
125	578	4012
126	581	4000
127	585	3987
128	589	3980
129	593	3973
130	597	3963
131	601	3955
132	604	3943
133	607	3925
134	610	3914
135	614	3906
136	618	3894
137	622	3886
138	625	3875
139	629	3866
140	633	3857
141	640	3867
142	649	3891
143	654	3887
144	658	3883
145	662	3877
146	667	3872
147	671	3865
148	675	3855
149	678	3844
150	682	3839
151	686	3829
152	689	3817
153	693	3807
154	698	3808
155	702	3799
156	705	3786
157	708	3774
158	712	3766
159	714	3752
160	718	3744
161	722	3737
162	730	3749
163	733	3740
164	736	3727
165	740	3719
166	743	3710
167	747	3699
168	750	3690
169	753	3678
170	756	3669
171	761	3663
172	763	3651
173	767	3643
174	771	3634
175	774	3627
176	778	3619
177	781	3608
178	784	3596
179	787	3587
180	790	3577
181	793	3566
182	796	3557
183	800	3548
184	803	3538
185	806	3529
186	809	3519
187	812	3510
188	815	3498
189	818	3487
190	820	3475
191	824	3467
192	826	3456
193	828	3442
194	831	3434
195	835	3425
196	838	3415
197	840	3405
198	843	3395
199	846	3387
200	849	3376
201	852	3369
202	855	3359
203	858	3351
204	861	3342
205	865	3335
206	868	3327
207	872	3320
208	875	3314
209	878	3305
210	881	3297
211	884	3286
212	887	3278
213	890	3269
214	892	3258
215	895	3249
216	898	3240
217	901	3234
218	904	3227
219	907	3218
220	910	3208
221	913	3200
222	916	3193
223	919	3186
224	922	3175
225	924	3167
226	927	3158
227	929	3148
228	932	3140
229	934	3130
230	937	3120
231	939	3109
232	942	3101
233	945	3093
234	947	3083
235	950	3075
236	953	3069
237	956	3061
238	958	3051
239	961	3045
240	965	3039
241	967	3031
242	970	3022
243	973	3016
244	976	3010
245	980	3005
246	983	2997
247	986	2990
248	990	2986
249	993	2980
250	996	2974
251	999	2967
252	1002	2958
253	1005	2953
254	1008	2945
255	1011	2939
256	1014	2931
257	1016	2924
258	1019	2917
259	1021	2908
260	1024	2900
261	1027	2893
262	1030	2887
263	1033	2881
264	1036	2873
265	1039	2868
266	1042	2861
267	1045	2855
268	1049	2850
269	1052	2844
270	1054	2836
271	1057	2831
272	1061	2826
273	1064	2820
274	1066	2811
275	1070	2808
276	1074	2804
277	1077	2799
278	1079	2790
279	1082	2784
280	1086	2779
281	1089	2774
282	1091	2765
283	1094	2760
284	1099	2757
285	1102	2751
286	1105	2745
287	1108	2739
288	1110	2731
289	1113	2725
290	1117	2723
291	1121	2718
292	1123	2712
293	1126	2704
294	1130	2701
295	1132	2694
